source,source_type,year,make,model,vin,price,mileage,location,engine,axles,transmission_type,transmission_speed,wheelbase_inches,apu,truck_type,sleeper_size,overhaul_paperwork,listing_url,auction_date,first_seen_date,last_seen_date,is_duplicate,review_flag,is_relisted,status,created_at,updated_at
commercialtrucktrader.com,retail,2020,Freightliner,Columbia,JCA498X1X9YGU027C,111211.9,718098,"Chicago, IL",Detroit Series 60,6x4,Automatic,12,255,True,Sleeper,"72""",False,https://www.commercialtrucktrader.com/listing/73424719,,2023-09-22,2023-12-28,False,False,False,ended,2023-09-22 10:00:00,2023-12-28 00:00:00
ritchiebros.com,auction,2014,Peterbilt,567,N9M1X6VATRBH3538D,57652.58,1379195,"Atlanta, GA",PACCAR MX13,6x2,Automatic,12,226,True,Sleeper,"86""",False,https://www.ritchiebros.com/listing/10971114,2026-06-07,2026-06-01,2026-06-11,False,False,False,active,2026-06-01 14:00:00,2026-06-11 00:00:00
ironplanet.com,auction,2017,Peterbilt,567,6KVF5B2ACTN9DVXV8,94609.93,518582,"Fort Worth, TX",PACCAR MX13,6x4,Automatic,12,246,False,Day Cab,,False,https://www.ironplanet.com/listing/67293783,2023-11-01,2023-10-04,2023-11-16,False,False,False,ended,2023-10-04 07:00:00,2023-11-16 00:00:00
commercialtrucktrader.com,retail,2017,Freightliner,Coronado,D092AFMX0F7N4L64P,106978.33,444537,"Memphis, TN",Detroit DD13,6x2,Automatic,12,242,False,Sleeper,"60""",False,https://www.commercialtrucktrader.com/listing/70283815,,2023-06-21,2023-09-04,False,False,False,withdrawn,2023-06-21 07:00:00,2023-09-04 00:00:00
equipmentfacts.com,auction,2016,Freightliner,Cascadia,2BRN4P3GK5SZSYNGW,68621.7,1221625,"Dallas, TX",Cummins X15,6x4,Manual,13,208,False,Sleeper,"60""",True,https://www.equipmentfacts.com/listing/23829486,2023-03-31,2023-03-30,2023-06-11,False,False,False,ended,2023-03-30 22:00:00,2023-06-11 00:00:00
commercialtrucktrader.com,retail,2021,Freightliner,Columbia,H5B11WF2KMK3JHZDB,134448.24,219543,"Kansas City, MO",Detroit Series 60,6x4,Manual,13,236,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/48489337,,2023-08-26,2024-04-08,True,False,False,ended,2023-08-26 14:00:00,2024-04-08 00:00:00
commercialtrucktrader.com,retail,2014,Freightliner,Cascadia,T6PLBLS6BCJL2MY8M,66741.87,1039801,"Salt Lake City, UT",Cummins X15,6x4,Manual,18,215,False,Sleeper,"80""",True,https://www.commercialtrucktrader.com/listing/53439838,,2025-07-24,2025-11-22,False,False,False,withdrawn,2025-07-24 04:00:00,2025-11-22 00:00:00
truckpaper.com,retail,2020,Kenworth,W900,FYGXFV3DMGMGJN7XW,120586.51,365472,"Dallas, TX",Cummins X15,6x4,Automatic,10,225,False,Day Cab,,False,https://www.truckpaper.com/listing/57727192,,2024-05-28,2024-06-20,False,False,False,ended,2024-05-28 19:00:00,2024-06-20 00:00:00
commercialtrucktrader.com,retail,2019,Peterbilt,389,NAD3WC7NYRLRPN27P,113220.1,524603,"Salt Lake City, UT",Cummins X15,6x4,Automatic,10,220,False,Flatbed,,False,https://www.commercialtrucktrader.com/listing/29905722,,2024-09-25,2025-06-01,False,False,False,withdrawn,2024-09-25 19:00:00,2025-06-01 00:00:00
truckpaper.com,retail,2011,Freightliner,Columbia,YWMBHDU7UF5D33GTM,8861.66,1860400,"Phoenix, AZ",Detroit Series 60,6x4,Manual,18,247,False,Day Cab,,True,https://www.truckpaper.com/listing/78231814,,2025-01-27,2025-05-20,False,True,False,withdrawn,2025-01-27 02:00:00,2025-05-20 00:00:00
ironplanet.com,auction,2011,Freightliner,Coronado,5PH60GWUDVNSUNJYY,44378.59,1027758,"Fort Worth, TX",Detroit DD13,6x4,Automatic,12,210,False,Sleeper,"72""",True,https://www.ironplanet.com/listing/17888958,2024-05-11,2024-04-29,2024-07-13,False,False,False,withdrawn,2024-04-29 18:00:00,2024-07-13 00:00:00
ritchiebros.com,auction,2011,Volvo,VNL760,VBVJAVTFRXSBPEUU2,37634.73,1290215,"Phoenix, AZ",Volvo D13,6x4,Automatic,10,206,True,Sleeper,"80""",False,https://www.ritchiebros.com/listing/79490939,2023-04-12,2023-04-05,2023-04-19,False,False,True,withdrawn,2023-04-05 00:00:00,2023-04-19 00:00:00
ritchiebros.com,auction,2018,Mack,Anthem,4KCZXKJVKMTFK1YPF,101604.86,793901,"Dallas, TX",MP8,6x4,Manual,13,253,True,Day Cab,,False,https://www.ritchiebros.com/listing/60527596,2024-08-07,2024-05-21,2025-03-30,False,False,False,ended,2024-05-21 17:00:00,2025-03-30 00:00:00
truckpaper.com,retail,2006,Peterbilt,567,ZTJ0AWGUFFDT5CULE,5000.0,1651614,"Fort Worth, TX",PACCAR MX13,6x4,Automatic,12,231,True,Day Cab,,True,https://www.truckpaper.com/listing/81916069,,2023-08-12,2023-10-06,False,True,False,ended,2023-08-12 08:00:00,2023-10-06 00:00:00
commercialtrucktrader.com,retail,2000,Peterbilt,579,G2BYPETW9WRXV9VKP,5000.0,2092601,"Chicago, IL",Cummins X15,6x4,Automatic,10,249,False,Dump,,False,https://www.commercialtrucktrader.com/listing/22942474,,2024-08-23,2024-09-27,False,True,False,withdrawn,2024-08-23 23:00:00,2024-09-27 00:00:00
ritchiebros.com,auction,2002,Mack,Anthem,9R30DWGJB1ZNTKKCE,5000.0,1650261,"Indianapolis, IN",MP8,6x2,Manual,18,227,False,Sleeper,"48""",False,https://www.ritchiebros.com/listing/55859282,2024-11-18,2024-11-18,2024-12-17,False,True,False,ended,2024-11-18 10:00:00,2024-12-17 00:00:00
truckpaper.com,retail,2010,Freightliner,Coronado,LEZR9DXM2WVN6E3N6,20623.9,1362846,"Chicago, IL",Detroit DD13,4x2,Automatic,12,214,False,Day Cab,,True,https://www.truckpaper.com/listing/87833668,,2025-09-26,2026-06-11,False,False,False,active,2025-09-26 02:00:00,2026-06-11 00:00:00
truckpaper.com,retail,2015,Freightliner,Columbia,0R55HBJLT42C7XGK7,47587.82,1367069,"Phoenix, AZ",Detroit Series 60,6x4,Automatic,12,185,False,Day Cab,,True,https://www.truckpaper.com/listing/37815741,,2023-03-06,2023-06-23,False,False,False,withdrawn,2023-03-06 08:00:00,2023-06-23 00:00:00
commercialtrucktrader.com,retail,2018,Volvo,VNL860,JAALAPC1GX1XN5636,76189.13,915766,"Memphis, TN",Volvo D13,6x4,Manual,18,223,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/14319894,,2024-10-02,2024-11-17,False,False,False,ended,2024-10-02 20:00:00,2024-11-17 00:00:00
ritchiebros.com,auction,2017,Peterbilt,567,L1XS1E0AEDDWB2GYK,76827.31,1086106,"Kansas City, MO",PACCAR MX13,4x2,Automatic,12,232,False,Box Truck,,True,https://www.ritchiebros.com/listing/11845899,2025-01-31,2025-01-30,2025-02-19,False,False,False,withdrawn,2025-01-30 12:00:00,2025-02-19 00:00:00
equipmentfacts.com,auction,2017,Volvo,VNL860,UD3TRMBLJ6FCK31FX,88570.42,949622,"Kansas City, MO",Volvo D13,4x2,Manual,13,223,False,Day Cab,,False,https://www.equipmentfacts.com/listing/76334181,2025-08-11,2025-07-30,2025-09-20,False,False,False,ended,2025-07-30 23:00:00,2025-09-20 00:00:00
truckpaper.com,retail,2017,Peterbilt,579,9W9LZF6WY3S1JA7UG,98258.59,533259,"Atlanta, GA",Cummins X15,6x4,Manual,13,225,False,Dump,,False,https://www.truckpaper.com/listing/26890305,,2025-11-14,2026-01-09,False,False,False,withdrawn,2025-11-14 02:00:00,2026-01-09 00:00:00
truckpaper.com,retail,2012,Mack,Anthem,J120G7C4LFRW9RA15,50149.57,821901,"Kansas City, MO",MP8,6x4,Automatic,10,239,False,Sleeper,"60""",False,https://www.truckpaper.com/listing/12076827,,2023-03-29,2024-01-11,False,False,False,withdrawn,2023-03-29 01:00:00,2024-01-11 00:00:00
commercialtrucktrader.com,retail,2016,Freightliner,Cascadia,Y03F0ABB36DVEFB3L,84142.03,833236,"Kansas City, MO",Cummins X15,6x2,Manual,10,233,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/88332430,,2025-08-04,2025-08-26,False,False,False,ended,2025-08-04 12:00:00,2025-08-26 00:00:00
ritchiebros.com,auction,2009,Volvo,VNL860,XKZSKGT20BT2WTG57,27236.36,926389,"Kansas City, MO",Volvo D13,6x2,Manual,13,209,False,Day Cab,,True,https://www.ritchiebros.com/listing/14167907,2025-06-30,2025-06-07,2025-07-01,False,False,False,withdrawn,2025-06-07 22:00:00,2025-07-01 00:00:00
commercialtrucktrader.com,retail,2020,Kenworth,T680,JJ0Z9PXEGNSEEY8A9,133015.38,482124,"Salt Lake City, UT",PACCAR MX13,6x4,Automatic,10,230,True,Sleeper,"60""",False,https://www.commercialtrucktrader.com/listing/43980940,,2026-04-16,2026-06-03,False,False,False,ended,2026-04-16 14:00:00,2026-06-03 00:00:00
ritchiebros.com,auction,2022,Volvo,VNL860,7XU85ZXE76JF95ANT,132403.55,586748,"Chicago, IL",Volvo D13,6x4,Automatic,12,204,True,Sleeper,"72""",False,https://www.ritchiebros.com/listing/50721235,2025-08-22,2025-08-07,2025-09-12,False,False,True,ended,2025-08-07 23:00:00,2025-09-12 00:00:00
truckpaper.com,retail,2015,Kenworth,W900,8H30UNGPZCLDPZM92,83291.42,695552,"Chicago, IL",Cummins X15,6x4,Automatic,10,258,False,Flatbed,,False,https://www.truckpaper.com/listing/96965761,,2025-04-24,2025-06-23,False,False,False,ended,2025-04-24 16:00:00,2025-06-23 00:00:00
ritchiebros.com,auction,2017,Volvo,VNL860,NNGKB2Y99AKTNNGRC,90086.97,837946,"Phoenix, AZ",Volvo D13,6x4,Automatic,12,267,True,Sleeper,"80""",False,https://www.ritchiebros.com/listing/51454317,2025-05-05,2025-04-26,2025-06-25,False,False,False,withdrawn,2025-04-26 13:00:00,2025-06-25 00:00:00
commercialtrucktrader.com,retail,2006,Freightliner,Coronado,NUWWPRV3WF1R4TLSL,5000.0,2344531,"Kansas City, MO",Detroit DD13,6x4,Manual,18,227,True,Sleeper,"48""",False,https://www.commercialtrucktrader.com/listing/86585460,,2023-12-03,2024-01-06,False,True,True,withdrawn,2023-12-03 10:00:00,2024-01-06 00:00:00
truckpaper.com,retail,2009,Volvo,VNL860,Y73YLBFVGMSZJ3MSY,32329.81,1431735,"Kansas City, MO",Volvo D13,6x4,Automatic,10,213,True,Sleeper,"48""",True,https://www.truckpaper.com/listing/74907073,,2026-04-22,2026-06-11,False,False,False,active,2026-04-22 13:00:00,2026-06-11 00:00:00
commercialtrucktrader.com,retail,2023,Volvo,VNL760,RSJN48D19U2H940A5,145737.72,352095,"Salt Lake City, UT",Volvo D13,6x4,Automatic,12,245,False,Sleeper,"72""",False,https://www.commercialtrucktrader.com/listing/91430033,,2024-05-23,2024-09-29,False,False,False,ended,2024-05-23 19:00:00,2024-09-29 00:00:00
truckpaper.com,retail,2000,Mack,Anthem,45BXC266UXHKNSZYK,5000.0,2343282,"Dallas, TX",MP8,6x2,Automatic,10,212,False,Day Cab,,False,https://www.truckpaper.com/listing/77740516,,2023-08-05,2023-08-31,False,True,True,ended,2023-08-05 23:00:00,2023-08-31 00:00:00
commercialtrucktrader.com,retail,2017,Kenworth,T880,MZC4CCCBR64DS9LH5,82500.81,854448,"Fort Worth, TX",PACCAR MX13,6x4,Manual,10,211,True,Sleeper,"60""",False,https://www.commercialtrucktrader.com/listing/33941491,,2025-04-26,2025-07-04,False,False,False,ended,2025-04-26 05:00:00,2025-07-04 00:00:00
truckpaper.com,retail,2007,Peterbilt,567,B4NGJ4F2LFRVKXL3C,8311.19,1539183,"Houston, TX",PACCAR MX13,6x4,Automatic,10,249,True,Sleeper,"60""",True,https://www.truckpaper.com/listing/85953882,,2025-05-10,2025-05-28,False,True,False,ended,2025-05-10 01:00:00,2025-05-28 00:00:00
truckpaper.com,retail,2024,Freightliner,Columbia,74ZBY6R17VNFS05CJ,146382.03,193785,"Salt Lake City, UT",Detroit Series 60,6x2,Automatic,10,242,False,Box Truck,,False,https://www.truckpaper.com/listing/56953306,,2026-04-16,2026-05-08,False,False,False,ended,2026-04-16 18:00:00,2026-05-08 00:00:00
truckpaper.com,retail,2017,Peterbilt,389,NZP5M10P11UMPWFM7,92337.47,842649,"Phoenix, AZ",Cummins X15,6x4,Automatic,10,246,True,Sleeper,"72""",False,https://www.truckpaper.com/listing/76210377,,2023-04-06,2023-06-13,False,False,False,ended,2023-04-06 12:00:00,2023-06-13 00:00:00
truckpaper.com,retail,2009,Volvo,VNL860,NA6JKRL925E6A46CJ,24936.34,1247121,"Fort Worth, TX",Volvo D13,6x4,Automatic,10,260,False,Day Cab,,True,https://www.truckpaper.com/listing/37115983,,2025-10-24,2025-11-23,False,False,True,withdrawn,2025-10-24 19:00:00,2025-11-23 00:00:00
equipmentfacts.com,auction,2012,Kenworth,T680,EJN8VYSEYK0G9PNNU,26005.58,1471152,"Kansas City, MO",PACCAR MX13,4x2,Automatic,10,200,True,Box Truck,,False,https://www.equipmentfacts.com/listing/97333635,2023-08-16,2023-07-29,2023-08-17,False,False,False,withdrawn,2023-07-29 17:00:00,2023-08-17 00:00:00
equipmentfacts.com,auction,2021,Freightliner,Cascadia,JDBMFWARUHG9JLDTJ,132884.93,528716,"Fort Worth, TX",Cummins X15,6x4,Manual,10,236,True,Sleeper,"60""",False,https://www.equipmentfacts.com/listing/30779296,2023-06-29,2023-06-28,2023-07-03,False,False,False,withdrawn,2023-06-28 19:00:00,2023-07-03 00:00:00
commercialtrucktrader.com,retail,2020,Kenworth,W900,11X7ENZZ6E0L9W6HR,113015.39,721739,"Indianapolis, IN",Cummins X15,6x4,Automatic,12,243,False,Sleeper,"72""",False,https://www.commercialtrucktrader.com/listing/31828015,,2025-03-19,2025-04-18,False,False,False,withdrawn,2025-03-19 23:00:00,2025-04-18 00:00:00
ironplanet.com,auction,2025,Peterbilt,579,73JG1AE0LHXPYM2C4,173448.56,103140,"Phoenix, AZ",Cummins X15,6x4,Automatic,12,244,True,Sleeper,"80""",False,https://www.ironplanet.com/listing/95870941,2025-08-21,2025-08-10,2025-10-16,False,False,False,ended,2025-08-10 09:00:00,2025-10-16 00:00:00
truckpaper.com,retail,2009,Volvo,VNL760,BCCEDYCUBD8HAV8UM,18198.56,1424140,"Houston, TX",Volvo D13,4x2,Automatic,10,224,True,Sleeper,"48""",True,https://www.truckpaper.com/listing/89425773,,2026-05-06,2026-06-11,False,False,False,active,2026-05-06 15:00:00,2026-06-11 00:00:00
commercialtrucktrader.com,retail,2010,Kenworth,W900,VP2HDPKHJ1WNPANFA,26600.77,1291243,"Dallas, TX",Cummins X15,6x4,Automatic,10,242,False,Dump,,True,https://www.commercialtrucktrader.com/listing/11515838,,2024-02-23,2024-08-04,False,False,False,withdrawn,2024-02-23 19:00:00,2024-08-04 00:00:00
commercialtrucktrader.com,retail,2009,Freightliner,Coronado,T62YE318PLU8YYV3L,15605.25,1349179,"Houston, TX",Detroit DD13,6x4,Automatic,12,232,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/40989939,,2023-05-01,2023-09-25,False,False,False,ended,2023-05-01 20:00:00,2023-09-25 00:00:00
truckpaper.com,retail,2017,Kenworth,T680,ZJ83YEPPY22X66SXL,76076.41,977065,"Indianapolis, IN",PACCAR MX13,6x4,Automatic,12,237,False,Day Cab,,True,https://www.truckpaper.com/listing/75537271,,2023-07-31,2023-08-25,True,False,False,withdrawn,2023-07-31 02:00:00,2023-08-25 00:00:00
ritchiebros.com,auction,2007,Freightliner,Cascadia,H5RA61EE4JG687UJS,5000.0,1959717,"Indianapolis, IN",Detroit DD15,4x2,Automatic,12,232,False,Sleeper,"86""",True,https://www.ritchiebros.com/listing/65023475,2023-11-14,2023-06-07,2024-06-09,False,True,False,ended,2023-06-07 10:00:00,2024-06-09 00:00:00
commercialtrucktrader.com,retail,2019,Peterbilt,567,PUHP0FXM6U2X6V35R,118132.08,511713,"Kansas City, MO",PACCAR MX13,6x4,Automatic,10,241,True,Sleeper,"48""",False,https://www.commercialtrucktrader.com/listing/63359007,,2024-09-01,2024-09-16,False,False,False,withdrawn,2024-09-01 12:00:00,2024-09-16 00:00:00
truckpaper.com,retail,2016,Volvo,VNL860,KDM92LVFSGSK7LBGY,77395.01,1004804,"Phoenix, AZ",Volvo D13,6x4,Automatic,10,226,True,Sleeper,"48""",True,https://www.truckpaper.com/listing/57139625,,2023-05-19,2023-06-16,False,False,True,withdrawn,2023-05-19 02:00:00,2023-06-16 00:00:00
truckpaper.com,retail,2025,Peterbilt,567,KCUTFME15SFEABTJF,164701.87,84501,"Salt Lake City, UT",PACCAR MX13,6x4,Automatic,10,218,False,Sleeper,"72""",False,https://www.truckpaper.com/listing/56953146,,2025-02-10,2025-03-04,False,False,False,withdrawn,2025-02-10 23:00:00,2025-03-04 00:00:00
equipmentfacts.com,auction,2019,Volvo,VNL860,ZN4GCRTLC2X9EVLWB,96522.34,839169,"Salt Lake City, UT",Volvo D13,6x4,Automatic,10,249,False,Dump,,False,https://www.equipmentfacts.com/listing/84907082,2026-04-29,2026-04-12,2026-06-11,False,False,False,active,2026-04-12 15:00:00,2026-06-11 00:00:00
truckpaper.com,retail,2001,Freightliner,Cascadia,JHK63RBP9WD9C5ZRN,5000.0,1885955,"Kansas City, MO",Cummins X15,6x4,Automatic,10,212,False,Day Cab,,False,https://www.truckpaper.com/listing/25432437,,2024-07-18,2024-11-06,False,True,True,ended,2024-07-18 02:00:00,2024-11-06 00:00:00
commercialtrucktrader.com,retail,2008,Freightliner,Cascadia,KC8S2ZYT0ZVM4UVN6,5000.0,1969246,"Fort Worth, TX",Cummins X15,6x4,Automatic,10,235,False,Day Cab,,True,https://www.commercialtrucktrader.com/listing/21999307,,2024-02-12,2024-05-16,False,True,False,ended,2024-02-12 11:00:00,2024-05-16 00:00:00
ritchiebros.com,auction,2018,Freightliner,Columbia,NJB5N2ACGZDM8DZTT,103082.08,699016,"Memphis, TN",Detroit Series 60,6x4,Manual,10,229,False,Dump,,False,https://www.ritchiebros.com/listing/20371431,2025-09-24,2025-06-26,2025-10-01,False,False,True,ended,2025-06-26 04:00:00,2025-10-01 00:00:00
commercialtrucktrader.com,retail,2010,Freightliner,Cascadia,A2HVYBCJ820SF9FGT,10007.76,1677634,"Indianapolis, IN",Detroit DD15,6x4,Automatic,10,238,False,Sleeper,"48""",False,https://www.commercialtrucktrader.com/listing/48359652,,2024-08-21,2024-12-03,False,True,False,ended,2024-08-21 19:00:00,2024-12-03 00:00:00
truckpaper.com,retail,2022,Freightliner,Coronado,ZB9YJXVT8LCNP8EX2,141236.85,307002,"Fort Worth, TX",Detroit DD13,6x2,Automatic,12,232,False,Sleeper,"72""",False,https://www.truckpaper.com/listing/53167786,,2024-01-07,2024-04-29,False,False,True,ended,2024-01-07 22:00:00,2024-04-29 00:00:00
commercialtrucktrader.com,retail,2020,Kenworth,W900,5CTUFDA9J655N9205,130633.3,549546,"Houston, TX",Cummins X15,6x4,Automatic,10,203,True,Sleeper,"60""",False,https://www.commercialtrucktrader.com/listing/74796234,,2026-03-23,2026-06-03,False,False,False,ended,2026-03-23 10:00:00,2026-06-03 00:00:00
commercialtrucktrader.com,retail,2013,Volvo,VNL760,D1XS6XXP5YBX8650T,50472.7,842453,"Dallas, TX",Volvo D13,6x4,Automatic,12,238,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/86291190,,2024-01-18,2024-05-07,False,False,False,withdrawn,2024-01-18 22:00:00,2024-05-07 00:00:00
equipmentfacts.com,auction,2020,International,LT625,XPPKWUPNNJBCRPR7G,105948.77,655217,"Dallas, TX",A26 Engine,6x4,Automatic,10,195,False,Day Cab,,False,https://www.equipmentfacts.com/listing/28008589,2024-04-04,2024-03-05,2024-06-08,False,False,False,ended,2024-03-05 22:00:00,2024-06-08 00:00:00
ritchiebros.com,auction,2020,Freightliner,Columbia,2WFBCTYZWMDYBYY77,122095.18,523269,"Chicago, IL",Detroit Series 60,6x4,Automatic,12,248,False,Sleeper,"48""",False,https://www.ritchiebros.com/listing/27922145,2023-09-08,2023-07-24,2023-10-20,False,False,False,withdrawn,2023-07-24 18:00:00,2023-10-20 00:00:00
commercialtrucktrader.com,retail,2018,Peterbilt,389,VRE17BH24PRLWETUN,95181.08,900157,"Fort Worth, TX",Cummins X15,6x2,Automatic,10,231,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/60573870,,2025-06-28,2025-08-15,False,False,False,withdrawn,2025-06-28 09:00:00,2025-08-15 00:00:00
commercialtrucktrader.com,retail,2011,Volvo,VNL760,CEPH5YRP6S6K7S9X2,16197.23,1355700,"Kansas City, MO",Volvo D13,6x4,Automatic,10,212,False,Day Cab,,True,https://www.commercialtrucktrader.com/listing/88679068,,2024-01-13,2024-02-16,False,False,False,ended,2024-01-13 07:00:00,2024-02-16 00:00:00
truckpaper.com,retail,2020,Freightliner,Columbia,0AP1339N2YMEKC2D9,126276.33,506482,"Salt Lake City, UT",Detroit Series 60,6x4,Automatic,12,233,False,Sleeper,"80""",False,https://www.truckpaper.com/listing/52498688,,2025-09-30,2025-11-05,False,False,False,withdrawn,2025-09-30 00:00:00,2025-11-05 00:00:00
truckpaper.com,retail,2008,Kenworth,T880,0ZHK0VS12TW2WGXM0,5000.0,1757633,"Houston, TX",PACCAR MX13,6x4,Manual,18,217,False,Sleeper,"80""",False,https://www.truckpaper.com/listing/53832119,,2024-11-22,2025-03-28,False,True,False,ended,2024-11-22 04:00:00,2025-03-28 00:00:00
truckpaper.com,retail,2007,Kenworth,T680,MBS39N7SEBWBWRJKL,5000.0,1354810,"Salt Lake City, UT",PACCAR MX13,6x4,Automatic,10,248,False,Day Cab,,False,https://www.truckpaper.com/listing/46846562,,2024-04-16,2024-06-27,False,False,True,ended,2024-04-16 08:00:00,2024-06-27 00:00:00
commercialtrucktrader.com,retail,2014,Mack,Anthem,BGTHH1Y88EZC09VW5,62292.27,806411,"Indianapolis, IN",MP8,6x4,Automatic,10,256,False,Day Cab,,False,https://www.commercialtrucktrader.com/listing/44848365,,2026-01-22,2026-06-11,False,False,False,active,2026-01-22 14:00:00,2026-06-11 00:00:00
equipmentfacts.com,auction,2012,Freightliner,Columbia,4P3N960NASF87N1UF,39176.77,1655141,"Fort Worth, TX",Detroit Series 60,4x2,Automatic,12,234,False,Sleeper,"60""",False,https://www.equipmentfacts.com/listing/22428249,2025-12-24,2025-12-09,2026-02-01,False,True,False,withdrawn,2025-12-09 15:00:00,2026-02-01 00:00:00
ritchiebros.com,auction,2019,Freightliner,Coronado,P082MATMDF1EXW76M,106197.87,716319,"Atlanta, GA",Detroit DD13,6x4,Automatic,12,224,False,Sleeper,"86""",False,https://www.ritchiebros.com/listing/45791455,2023-07-04,2023-06-13,2023-07-25,False,False,False,withdrawn,2023-06-13 16:00:00,2023-07-25 00:00:00
equipmentfacts.com,auction,2012,Freightliner,Cascadia,BA14S7KK5ZHT1S9Z5,48413.89,1432328,"Chicago, IL",Detroit DD15,6x4,Manual,13,268,False,Sleeper,"80""",True,https://www.equipmentfacts.com/listing/14524199,2024-09-29,2024-09-15,2024-10-08,False,False,True,ended,2024-09-15 03:00:00,2024-10-08 00:00:00
truckpaper.com,retail,2014,Mack,Anthem,E7PKXT668GDZ76YAB,56322.57,1070074,"Fort Worth, TX",MP8,6x4,Automatic,10,224,False,Day Cab,,False,https://www.truckpaper.com/listing/39404660,,2024-02-16,2024-04-16,False,False,False,ended,2024-02-16 17:00:00,2024-04-16 00:00:00
truckpaper.com,retail,2017,Freightliner,Coronado,5R2W06GM9G90AFXT8,79177.62,1120897,"Kansas City, MO",Detroit DD13,4x2,Automatic,12,219,False,Sleeper,"60""",True,https://www.truckpaper.com/listing/43928110,,2023-07-29,2023-10-02,True,False,False,withdrawn,2023-07-29 14:00:00,2023-10-02 00:00:00
